string,code
abandon,negative
abandoned,negative
abandons,negative
abducted,negative
abduction,negative
abductions,negative
abhor,negative
abhorred,negative
abhorrent,negative
abhors,negative
absentee,negative
absentees,negative
abuse,negative
abused,negative
abuses,negative
abusive,negative
accident,negative
accidental,negative
accidentally,negative
accidents,negative
accusation,negative
accusations,negative
accuse,negative
accused,negative
accuses,negative
accusing,negative
ache,negative
aching,negative
acrimonious,negative
admit,negative
admits,negative
admitted,negative
admonish,negative
admonished,negative
affected,negative
afflicted,negative
affronted,negative
afraid,negative
aggravate,negative
aggravated,negative
aggravates,negative
aggravating,negative
aggression,negative
aggressions,negative
aggressive,negative
aghast,negative
agonise,negative
agonised,negative
agonises,negative
agonising,negative
agonize,negative
agonized,negative
agonizes,negative
agonizing,negative
alarm,negative
alarmed,negative
alarmist,negative
alarmists,negative
alas,negative
alert,negative
alienation,negative
allergic,negative
alone,negative
ambivalent,negative
anger,negative
angers,negative
angry,negative
anguish,negative
anguished,negative
animosity,negative
annoy,negative
annoyance,negative
annoyed,negative
annoying,negative
annoys,negative
antagonistic,negative
anti,negative
anxiety,negative
anxious,negative
apathetic,negative
apathy,negative
apeshit,negative
apocalyptic,negative
apologise,negative
apologised,negative
apologises,negative
apologising,negative
apologize,negative
apologized,negative
apologizes,negative
apologizing,negative
apology,negative
appalled,negative
appalling,negative
apprehensive,negative
arrest,negative
arrested,negative
arrests,negative
arrogant,negative
ashame,negative
ashamed,negative
ass,negative
assassination,negative
assassinations,negative
assfucking,negative
asshole,negative
attack,negative
attacked,negative
attacking,negative
attacks,negative
avert,negative
averted,negative
averts,negative
avoid,negative
avoided,negative
avoids,negative
await,negative
awaited,negative
awaits,negative
awful,negative
awkward,negative
axe,negative
axed,negative
bad,negative
badass,negative
badly,negative
bailout,negative
bamboozle,negative
bamboozled,negative
bamboozles,negative
ban,negative
banish,negative
bankrupt,negative
bankster,negative
banned,negative
barrier,negative
bastard,negative
bastards,negative
battle,negative
battles,negative
beaten,negative
beating,negative
belittle,negative
belittled,negative
bereave,negative
bereaved,negative
bereaves,negative
bereaving,negative
betray,negative
betrayal,negative
betrayed,negative
betraying,negative
betrays,negative
bias,negative
biased,negative
bitch,negative
bitches,negative
bitter,negative
bitterly,negative
bizarre,negative
blah,negative
blame,negative
blamed,negative
blames,negative
blaming,negative
blind,negative
block,negative
blocked,negative
blocking,negative
blocks,negative
bloody,negative
blurry,negative
boastful,negative
bomb,negative
bore,negative
bored,negative
boring,negative
bother,negative
bothered,negative
bothers,negative
bothersome,negative
boycott,negative
boycotted,negative
boycotting,negative
boycotts,negative
brainwashing,negative
bribe,negative
broke,negative
broken,negative
brooding,negative
bullied,negative
bullshit,negative
bully,negative
bullying,negative
bummer,negative
burden,negative
burdened,negative
burdening,negative
burdens,negative
can't stand,negative
cancel,negative
cancelled,negative
cancelling,negative
cancels,negative
cancer,negative
careless,negative
cashing in,negative
casualty,negative
catastrophe,negative
catastrophic,negative
cautious,negative
censor,negative
censored,negative
censors,negative
chagrin,negative
chagrined,negative
challenge,negative
chaos,negative
chaotic,negative
charged,negative
charges,negative
charmless,negative
chastise,negative
chastised,negative
chastises,negative
chastising,negative
cheat,negative
cheated,negative
cheater,negative
cheaters,negative
cheats,negative
cheerless,negative
childish,negative
chilling,negative
choke,negative
choked,negative
chokes,negative
choking,negative
clash,negative
clouded,negative
clueless,negative
cock,negative
cocksucker,negative
cocksuckers,negative
cocky,negative
coerced,negative
collapse,negative
collapsed,negative
collapses,negative
collapsing,negative
collide,negative
collides,negative
colliding,negative
collision,negative
collisions,negative
colluding,negative
combat,negative
